_id;Name;Nome;Beschreibung;Descrizione;Kategorie;Categoria;Adresse;Telefonnummer;Email;Webseite(n);Öffnungszeiten;Tags;KAUZ Tags;longitude;latitude
681a89d2c8c64552e950b2aa;Alois-Pupp-Park;Giardini Alois Pupp;Der einzige Brixner Park mit 'PPP'. Vorwiegend Public. Private für Raucher:innen. Partnerships wurden unter den alten Bäumen sowohl begonnen als auch beendet. Manchmal künstlerisch beleuchtet, sonst ein zentral gelegener Ort mit Bänken, Brunnen und Spielplatz – perfekt zum Verweilen.;L'unico parco di Bressanone con 'PPP'. Principalmente pubblico. Privato per fumatrici e fumatori. Per i partner: tra i vecchi alberi sono nate e finite molte relazioni. A volte è illuminato artisticamente, ma, di solito, con le sue panchine, il parco giochi e la fontana, offre un angolo tranquillo per rilassarsi nel pieno centro della città.;GEMÜTLICH GRÜN;VERDE VIVIBILE;;;;;;;;1.165.799;4.671.779
681a89d2c8c64552e950b297;Astra / Kulturzentrum;Astra / Centro culturale;Was einmal ein Raum zur Ertüchtigung der Jugend unter dem faschistischen Regime war, ist heute ein freier Kulturraum. Das Astra ist Veranstaltungslocation für verschiedenste Formate: Hier finden Filmvorführungen, Konzerte, Vorträge, Feste und ganz viel mehr statt.;Quello che una volta sotto il regime fascista era un luogo d'indottrinamento della gioventù, oggi è uno spazio libero dedicato alla cultura. L'Astra è una location polifunzionale che ospita eventi di ogni tipo: proiezioni di film, concerti, conferenze, feste e molto altro.;BÜHNEN BILDER BÜCHER;PALCHI PITTURA PAROLE;Romstrasse 11;39 0472 275577;info@astrabx.com;https://astrabx.com/;;;;1.164.979;4.671.646
;Autofreie Stadt;Città senza automobili;An den Stadteinfahrten stellen wir den Motor ab und bewegen uns zu Fuß, mit dem Fahrrad, den kostenlosen Stadtbussen oder auf einem Dinosaurier-Rücken fort. Aufatmen in Südtirols erster autofreier Stadt!;Spegniamo il motore all'ingresso della città e muoviamoci a piedi, in bici, con gli autobus gratuiti o sul dorso di un dinosauro. Respiriamo a fondo e godiamoci la prima città libera dalle automobili dell'Alto Adige!;WÜNSCHEN WIRKT WUNDER;SOGNI E SPERANZE;;;;;;;;;
681a89d2c8c64552e950b2b3;b*coop / Genossenschaft Brixen;b*coop / Cooperativa Bressanone;Eine neue Wirtschaftsweise gesucht? Hier wird sie gefunden! Kooperation im Sinn und ein Stück näher an der Utopie: ob Gemüsegarten oder Wohnen, vom Inkubator neuer Ideen bis zum gemütlichen Gemeinschaftstreffpunkt. Bring deine Idee, b*creative, b*cooperative!;In cerca di un'economia alternativa? Siete nel posto giusto! Al centro c'è la cooperazione, che si avvicina un po' anche all'utopia. Che si tratti di un orto, di un'abitazione, di un incubatore di nuove idee o di un accogliente luogo d'incontro, porta la tua idea: b*creative, b*cooperative!;BÜRGER:IN BEWEGUNG;CITTADINANZA CRITICA;Domplatz 15, Brixen;39 3468864988;info@bcoop.bz;B*COOP - Genossenschaft Brixen - Cooperativa Bressanone (bcoop.bz);;;;116.566;4.671.648
681a89d2c8c64552e950b2b5;b*space / Genossenschaft Brixen;b*space / Genossenschaft Brixen;Coworking space,Einzelschreibtische[NEWLINE][NEWLINE]Stundenmiete: Freiwillige Spende (unsere Kosten sind 5 Euro).[NEWLINE][NEWLINE]Monatsmiete: 100 Euro pro Monat. Mitglieder sind mehrwertsteuerbefreit. Inklusive Schlüssel.[NEWLINE][NEWLINE]Besprechungsbereich[NEWLINE][NEWLINE]Stundenmiete: Freiwillige Spende (10 Euro/Stunde als Richtspende). Bei wiederkehrender Veranstaltung: inklusive Schlüssel.;;unbekannt;;Domplatz 15, Brixen;39 3468864988;info@bcoop.bz;B*COOP - Genossenschaft Brixen - Cooperativa Bressanone (bcoop.bz);;;;116.566;4.671.648
681a89d2c8c64552e950b298;B*Vico;;Bietet biologische, naturnahe Produkte zu fairen Preisen von Bäuerinnen und Bauern aus der Umgebung direkt in Brixen an.;;unbekannt;;Abholpunkt Gärtnerei Elefant: Brennerstrasse 11;349 289 5233;bvico@bcoop.bz;https://bvico.bcoop.bz/#:~:text=b*vico%20bietet%20biologische%2C%20naturnahe,Uhr%20in%20der%20G%C3%A4rtnerei%20Elefant.;Bestellung bis Dienstagabend, Selbstabholung am Freitag zwischen 16 und 19 Uhr in der Gärtnerei Elefant.;;;116.485;4.672.431
681a89d2c8c64552e950b299;Bauernmarkt;;Verkauf von lokalen landwirtschaftlichen Produkten.;;unbekannt;;Hartmannsplatz;;;;Mo, Mi, Sa 7.30 - 13.00;;;1.165.199;4.671.702
;Beratungsstelle;Consultorio;Beratung für Frauen in Gewaltsituationen. Beratung für Frauen, die körperliche, psychische, sexualisierte und/oder ökonomische Gewalt erfahren haben, noch erleben oder davon bedroht sind und sich davor schützen möchten.;Consulenza per donne in situazioni di violenza. Consulenza per donne che vivono situazioni di violenza fisica, psicologica, sessuale e/o economica, o che ne sono minacciate e hanno bisogno di protezione.;HELFENDE HÄNDE;AIUTO ATTIVO;;;;;;;;;
;Bibliotheken;Biblioteche;Mit dem Aufblättern des ersten Bilderbuchs eintauchen in eine nie endende Leidenschaft: von der Jugend- und Spielabteilung über den täglichen Zeitschriftensaal bis zu den hohen Regalen mit den wissenschaftlichen Werken. Fachbibliothek Eine Welt, Stadt-, Universitäts- und Seminarbibliothek machen es möglich.;Sfogliando il primo libro illustrato, immergetevi in una passione che non vi abbandonerà mai: dal reparto giovani e giochi, attraverso la sala dei giornali quotidiani, fino agli alti scaffali delle opere accademiche. Le biblioteche Un Solo Mondo, Civica, Universitaria e del Seminario Maggiore rendono possibile tutto ciò.;BÜHNEN BILDER BÜCHER;PALCHI PITTURA PAROLE;;;;;;;;;
681a89d2c8c64552e950b2a4;Biofest(a);;Alternaives Erntedankfest, traditioneller Bio-Bauernmarkt für Direktvermarkter und Ab-Hof-Verkäufer;;unbekannt;;Hartmannsplatz;;;"Veranstaltungen Brixen - Alle Events in Brixen und seinen Feriendörfern Brixen Tourismus; https://bioinsuedtirol.it/de/news/biofesta-in-brixen/";1. Sonntag im Oktober;;;1.165.199;4.671.702
681a89d2c8c64552e950b282;Biotop Millander Au;;Biotop, Birdwatching, Fröschelauschen;;unbekannt;;Linker Eisackdamm;;;http://biodiversitaet.bz.it/tag/millander-au/;;;;116.517;4.670.049
;Boccia;Bocce;Von Jung bis Junggeblieben – im Club Anziani Millan Seniorenclub treffen sich Boccia-Begeisterte von 0 bis 99+. Ob Großeltern mit ihren Enkel:innen oder neugierige Neulinge: Am Dienstagnachmittag und Samstag rollen die Kugeln, und die Stimmung ist bestens!;Da ragazzi giovani a chi è rimasto giovane nel cuore: al Club Anziani Millan Seniorenclub si ritrovano gli appassionati di bocce dagli 0 agli over 99. Che siano nonni con i loro nipotini o principianti curiosi, il martedì pomeriggio e il sabato le bocce rotolano e l'atmosfera è spaziale!;SPIELEN SPRECHEN SPEISEN;SERATE IN SOCIETÀ;;;;;;;;;
